Question,Correct Answer,Model Answer,grount_truth,ground_truth
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: В каком году произошла битва «на Чудском озере на Узмени, у Воронья камня»? Вариант ответа 1: 1111 г., Вариант ответа 2: 1223 г., Вариант ответа 3: 1242 г., Вариант ответа 4: 1378 г. Выберите один вариант правильного ответа и укажите его номер в ответе.",3,3,0,0
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Расположите в хронологической последовательности события Вариант ответа 1: Сражение под Малоярославцем, Вариант ответа 2: Приход к власти Людовика XV, Вариант ответа 3: Введение урочных лет Ответом к заданию является последовательность номеров правильных ответов, перечисленных без пробелов и знаков препинания.",321,321,0,0
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Ниже приведён список терминов. Все они, за исключением двух, относятся к периоду IX-XI вв. Выберите лишние элементы. Вариант ответа 1: смерд, Вариант ответа 2: пожилое, Вариант ответа 3: погост, Вариант ответа 4: холоп, Вариант ответа 5: вервь, Вариант ответа 6: баскак Выберите несколько вариантов правильных ответов и перечислите в ответе их номера без пробелов и знаков препинания.",26,26,0,0
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Ниже приведён перечень терминов. Все они, за исключением двух, относятся к событиям, явлениям XIX в. Выберите лишние элементы. Вариант ответа 1: Декабристы, Вариант ответа 2: Промышленный переворот, Вариант ответа 3: Октябристы, Вариант ответа 4: Кадеты, Вариант ответа 5: Отрезки, Вариант ответа 6: Аракчеевщина Выберите несколько вариантов правильных ответов и перечислите в ответе их номера без пробелов и знаков препинания.",34,34,0,0
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Расположите в хронологической последовательности события Вариант ответа 1: Ледовое побоище;, Вариант ответа 2: Крещение Руси;, Вариант ответа 3: Грюнвальдская битва. Ответом к заданию является последовательность номеров правильных ответов, перечисленных без пробелов и знаков препинания.",213,213,0,0
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Расположите в хронологической последовательности исторические события. Запишите цифры, которыми обозначены исторические события, в правильной последовательности. Вариант ответа 1: введение всесословной воинской повинности в России, Вариант ответа 2: вступление СССР в Лигу Наций, Вариант ответа 3: Варфоломеевская ночь во Франции Ответом к заданию является последовательность номеров правильных ответов, перечисленных без пробелов и знаков препинания.",312,312,0,0
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Расположите в хронологической последовательности события Вариант ответа 1: Введение рекрутских наборов;, Вариант ответа 2: Принятие Новоторгового устава;, Вариант ответа 3: Реформация в Англии. Ответом к заданию является последовательность номеров правильных ответов, перечисленных без пробелов и знаков препинания.",321,321,0,0
"Прочитайте приведённые далее задачу, текст и выполните по ним задание. Задача: Выберите подходящее окончание для фразы. Текст: От имени советского командования безоговорочную капитуляцию фашистской Германии в ночь на 9 мая 1945 г. подписал Вариант ответа 1: К. Е. Ворошилов, Вариант ответа 2: Г. К. Жуков, Вариант ответа 3: А. М. Василевский, Вариант ответа 4: И. С. Конев Выберите один вариант правильного ответа и укажите его номер в ответе.",2,2,0,0
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Против кого сражалась русская рать в Невской битве в 1240 г.? Вариант ответа 1: Половцев, Вариант ответа 2: Хазар, Вариант ответа 3: Монголов, Вариант ответа 4: Шведов Выберите один вариант правильного ответа и укажите его номер в ответе.",4,4,0,0
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Расположите в хронологической последовательности события Вариант ответа 1: Походы Святослава Игоревича., Вариант ответа 2: Включение Новгорода в состав Московского княжества., Вариант ответа 3: Гибель «Непобедимой армады». Ответом к заданию является последовательность номеров правильных ответов, перечисленных без пробелов и знаков препинания.",123,123,0,0
