Question,Correct Answer,Model Answer,Semantic Entropy,EigenScore,SAR Score,NumSets,Self Confidence,Verbalized Uncertainty,Voting Result,Hallucination Votes,Similarity with Correct
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Что такое гражданское общество? Вариант ответа 1: общество с высоким уровнем демократии, Вариант ответа 2: общество, в котором сложилось экономическое, социальное и политическое равенство людей, Вариант ответа 3: сфера общественных отношений, свободных от вмешательства государства, Вариант ответа 4: современное постиндустриальное (информационное) общество Выберите один вариант правильного ответа и укажите его номер в ответе.",2,3,-3.5762787e-07,2.1949808697579095e-06,1.0,1,0.99,1.0,NORMAL,0/6,0.8665269
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: К военно-политическим особенностям во­оруженной борьбы не относится: Вариант ответа 1: решающим моментом для достижения военно-политического успеха является захват стратегической инициативы в ходе вооруженного конфликта, Вариант ответа 2: боевые действия будут характеризоваться сочетанием маневренных операций и позиционных действий, Вариант ответа 3: полувоенные, военизированные формирования, ополчения подтверждают свою центральную роль в осуществлении силовых операций, Вариант ответа 4: значительную роль в исходе вооруженного конфликта будет играть наличие боеготового резерва и системы его отмобилизования и развертывания Выберите один вариант правильного ответа и укажите его номер в ответе.",3,Правильный ответ: 3,0.46885538,0.5912729814810157,0.21857450477361018,2,0.93,0.7,HALLUCINATION,4/6,0.2950079
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Главным документом по итогам работы участковых избирательных комиссий в день голосования является: Вариант ответа 1: Итоговый протокол, Вариант ответа 2: Главный бюллетень, Вариант ответа 3: Первое распоряжение, Вариант ответа 4: Завершающее решение Выберите один вариант правильного ответа и укажите его номер в ответе.",1,1,0.0,1.7210395901646083e-06,1.0,1,0.99,1.0,NORMAL,0/6,1.0
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Признаки правового государства: Вариант ответа 1: развитое гражданское общество, Вариант ответа 2: ничем не ограниченная деятельность государства, Вариант ответа 3: главное место занимают интересы государства, Вариант ответа 4: «Запрещено все, что не разрешено» Выберите один вариант правильного ответа и укажите его номер в ответе.",1,1,0.0,1.7210395901646083e-06,1.0,1,0.99,1.0,NORMAL,0/6,1.0
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Какие из ученых считаются основоположниками современной теории политической элиты? Вариант ответа 1: Т. Парсонс, Г. Алмонд, Д. Истон, Вариант ответа 2: Н.А. Бердяев, И.А. Ильин, С.А. Франк, Вариант ответа 3: В. Парето, Г. Моска, Р. Михельс, Вариант ответа 4: К. Маркс, Ф. Энгельс, М. Вебер Выберите один вариант правильного ответа и укажите его номер в ответе.",3,3,-3.5762787e-07,2.1949808697579095e-06,1.0,1,0.99,1.0,NORMAL,0/6,1.0
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Разработка государственных программ субъекта Российской Федерации в области профилактики терроризма, минимизации и ликвидации последствий его проявлений производится: Вариант ответа 1: высшим должностным лицом субъекта Российской Федерации, Вариант ответа 2: высшим исполнительным органом государственной власти субъекта Российской Федерации, Вариант ответа 3: специальным исполнительным органом власти субъекта (министерством/главным управлением/комитетом/департаментом региональной безопасности), Вариант ответа 4: Советом Безопасности Российской Федерации. Выберите один вариант правильного ответа и укажите его номер в ответе.",2,2,1.1920929e-07,2.0512412261032437e-07,1.0,1,0.98,1.0,NORMAL,0/6,1.0
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Каково кратчайшее расстояние между Киевом и Белгородом? Вариант ответа 1: 56 км, Вариант ответа 2: 1578 км, Вариант ответа 3: 429 км, Вариант ответа 4: 1010 км Выберите один вариант правильного ответа и укажите его номер в ответе.",3,3,-3.5762787e-07,2.1949808697579095e-06,1.0,1,0.98,1.0,NORMAL,0/6,1.0
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Какое из положений является верным? Вариант ответа 1: политический конфликт предшествует политическому кризису, Вариант ответа 2: политический кризис порождает политический конфликт, Вариант ответа 3: политический конфликт и политический кризис — взаимосвязанные и взаимопереходящие причинно-следственные явления, Вариант ответа 4: политический конфликт является частью, элементом политического кризиса Выберите один вариант правильного ответа и укажите его номер в ответе.",3,3,-3.5762787e-07,2.1949808697579095e-06,1.0,1,0.94,1.0,NORMAL,0/6,1.0
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: В каком году в России проводился референдум по новой Конституции? Вариант ответа 1: в 1993, Вариант ответа 2: в 1996, Вариант ответа 3: в 1985, Вариант ответа 4: в 1989 Выберите один вариант правильного ответа и укажите его номер в ответе.",1,1,0.0,1.7210395901646083e-06,1.0,1,1.0,1.0,NORMAL,0/6,1.0
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Из скольких членов состоит Центральная избирательная комиссия Российской Федерации? Вариант ответа 1: 15 человек;, Вариант ответа 2: 20 человек;, Вариант ответа 3: 10 человек, Вариант ответа 4: 17 человек Выберите один вариант правильного ответа и укажите его номер в ответе.",1,1,0.0,1.7210395901646083e-06,1.0,1,0.99,1.0,NORMAL,0/6,1.0
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Какой тип политической системы является одним из наиболее распространенных в истории? Вариант ответа 1: тоталитарная, Вариант ответа 2: либеральная, Вариант ответа 3: демократия участия, Вариант ответа 4: коллективистская Выберите один вариант правильного ответа и укажите его номер в ответе.",2,1,0.0,1.7210395901646083e-06,1.0,1,0.93,0.7,NORMAL,0/6,0.8054157
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Расположите в хронологической последовательности события Вариант ответа 1: Варфоломеевсĸая ночь, Вариант ответа 2: поход хана Тохтамыша на Мосĸву, Вариант ответа 3: ĸодифиĸация заĸонов Российсĸой империи Ответом к заданию является последовательность номеров правильных ответов, перечисленных без пробелов и знаков препинания.",213,"Сначала был поход хана Тохтамыша на Москву (1382), затем Варфоломеевская ночь (1572), затем кодификация законов Российской империи (1830-е).

Ответ: 213",0.47795594,0.513144506392374,0.2735313697918209,2,0.99,1.0,HALLUCINATION,4/6,0.1748412
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Какое из названных событий относится к XVI в.? Вариант ответа 1: Северная война, Вариант ответа 2: Ливонская война, Вариант ответа 3: Семилетняя война, Вариант ответа 4: Смоленская война Выберите один вариант правильного ответа и укажите его номер в ответе.",2,2,1.1920929e-07,2.0512412261032437e-07,1.0,1,1.0,1.0,NORMAL,0/6,1.0
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Раскройте смысл понятия «баскаки». Дайте развернутый ответ. Кратко сформулируйте и запишите ответ на задание (слово, словосочетание, одно или несколько предложений).","Баскак - это представитель монгольского хана в завоёванных землях, сборщик налогов.На Руси баскачество сформировалось в 1250—1260-х годах. В каждое княжество назначался особый баскак. Баскаки в XIII—XIV веках собирали с русских земель дань Золотой Орде. Также баскаки вели учёт населения в завоёванных землях. В распоряжении баскаков могли быть большие вооружённые отряды для обеспечения своевременного сбора дани.","Баскаки — это представители ханов Золотой Орды на Руси в XIII–XIV веках. Они контролировали русские земли, следили за сбором дани, учитывали население и наблюдали за покорностью князей ордынской власти.",0.08635056,0.19583988344822434,0.9439475458143045,1,0.99,1.0,NORMAL,0/6,0.680034
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Расположите в хронологической последовательности исторические события. Вариант ответа 1: «Бостонское чаепитие», Вариант ответа 2: принятие Декрета о земле, Вариант ответа 3: принятие Судебника Ивана IV Ответом к заданию является последовательность номеров правильных ответов, перечисленных без пробелов и знаков препинания.",312,312,0.33620209,0.3541534249757419,1.0,2,0.99,1.0,NORMAL,2/6,1.0000001
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Расположите в хронологической последовательности исторические события. Запишите цифры, которыми обозначены исторические события, в правильной последовательности. Вариант ответа 1: распад Франкской империи, Вариант ответа 2: восстание под предводительством К. А. Булавина, Вариант ответа 3: подписание Нерчинского договора Ответом к заданию является последовательность номеров правильных ответов, перечисленных без пробелов и знаков препинания.",132,"Хронологическая последовательность:

1) распад Франкской империи — 843 г.  
3) подписание Нерчинского договора — 1689 г.  
2) восстание под предводительством К. А. Булавина — 1707–1708 гг.

Ответ: **132**",0.29781568,0.43941808071158817,0.872425267794831,2,0.99,1.0,NORMAL,2/6,0.3910079
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Какие из перечисленных событий произошли в период Первой мировой войны? Вариант ответа 1: заключение Портсмутского мира, Вариант ответа 2: создание Прогрессивного блока, Вариант ответа 3: Брусиловский прорыв, Вариант ответа 4: Цусимское морское сражение, Вариант ответа 5: принятие Декрета о земле, Вариант ответа 6: создание «Союза трёх императоров» Выберите несколько вариантов правильных ответов и перечислите в ответе их номера без пробелов и знаков препинания.",235,"Во время Первой мировой войны произошли:

2 — создание Прогрессивного блока (1915)  
3 — Брусиловский прорыв (1916)

Ответ: 23",0.36941552,0.4592373613970182,0.8776544796849631,2,0.99,1.0,NORMAL,2/6,0.09190388
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Какие три исторических деятеля были участниками событий Смуты? Вариант ответа 1: Андрей Курбский, Вариант ответа 2: Сигизмунд III, Вариант ответа 3: Фёдор Ртищев, Вариант ответа 4: Прокопий Ляпунов, Вариант ответа 5: Александр Меншиков, Вариант ответа 6: Дмитрий Трубецкой Выберите несколько вариантов правильных ответов и перечислите в ответе их номера без пробелов и знаков препинания.",246,246,1.7881393e-07,9.246585120833842e-07,1.0,1,0.99,1.0,NORMAL,0/6,1.0000001
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Какие три из перечисленных событий относятся к XVIII в.? Вариант ответа 1: Полтавская битва, Вариант ответа 2: Гангутское морское сражение, Вариант ответа 3: оборона Шипки, Вариант ответа 4: сражение у деревни Лесная, Вариант ответа 5: Бородинское сражение, Вариант ответа 6: Синопский морской бой Выберите несколько вариантов правильных ответов и перечислите в ответе их номера без пробелов и знаков препинания.",124,124,-2.3841858e-07,9.906479089500534e-07,1.0,1,1.0,1.0,NORMAL,0/6,1.0000002
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Ниже приведен перечень терминов. Все они, за исключением двух, относятся к событиям XVIII в. Выберите лишние элементы. Вариант ответа 1: Коллегии, Вариант ответа 2: фискал, Вариант ответа 3: бироновщина, Вариант ответа 4: земская управа, Вариант ответа 5: отруб Выберите несколько вариантов правильных ответов и перечислите в ответе их номера без пробелов и знаков препинания.",45,45,0.0,1.7210395901646083e-06,0.9999999999999999,1,0.99,1.0,NORMAL,0/6,1.0000001
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Какое из названных морских сражений произошло в ходе Северной войны? Вариант ответа 1: Наваринское, Вариант ответа 2: Гангутское, Вариант ответа 3: Чесменское, Вариант ответа 4: Синопское Выберите один вариант правильного ответа и укажите его номер в ответе.",2,2,1.1920929e-07,2.0512412261032437e-07,1.0,1,1.0,1.0,NORMAL,0/6,1.0
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: В каком году состоялось крещение Руси? Вариант ответа 1: 980 год, Вариант ответа 2: 988 год, Вариант ответа 3: 998 год, Вариант ответа 4: 1000 год Выберите один вариант правильного ответа и укажите его номер в ответе.",2,2,1.1920929e-07,2.0512412261032437e-07,1.0,1,1.0,1.0,NORMAL,0/6,1.0
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Какой из названных театров возник как театр-студия в годы «оттепели»? Вариант ответа 1: МХАТ, Вариант ответа 2: «Современник, Вариант ответа 3: «Ленком», Вариант ответа 4: «Сатирикон» Выберите один вариант правильного ответа и укажите его номер в ответе.",2,2,1.1920929e-07,2.0512412261032437e-07,1.0,1,0.99,1.0,NORMAL,0/6,1.0
