Question,Correct Answer,Model Answer,Semantic Entropy,EigenScore,SAR Score,NumSets,Self Confidence,Verbalized Uncertainty,Voting Result,Hallucination Votes,Similarity with Correct
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: При каком князе был построен Успенский собор в Москве? Кратко сформулируйте и запишите ответ на задание (слово, словосочетание, одно или несколько предложений).",Иван Третий,При великом князе Иване Калите.,0.020560384,0.0757596346855559,0.9999999999999998,1,0.75,1.0,NORMAL,0/6,0.843677
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Что из перечисленного входило в состав земской реформы 1864 г.? Вариант ответа 1: выборный характер земств, Вариант ответа 2: земства по первым двум куриям избирались на основе иму¬щественного ценза;, Вариант ответа 3: губернские чиновники могли назначаться только с согласия земств., Вариант ответа 4: в ряде губерний земства решено было не создавать;, Вариант ответа 5: земства содержали больницы, школы, тюрьмы, дороги;, Вариант ответа 6: во главе губернских земств стояло центральное земство;, Вариант ответа 7: депутатов земств называли гласными. Выберите несколько вариантов правильных ответов и перечислите в ответе их номера без пробелов и знаков препинания.",1257,1257,0.0,2.286646309232167e-06,0.9999999999999998,1,1.0,1.0,NORMAL,0/6,0.99999994
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Расположите в хронологической последовательности события Вариант ответа 1: Крестьянская война Степана Разина;, Вариант ответа 2: восстание Ивана Болотникова;, Вариант ответа 3: восстание Уота Тайлера. Ответом к заданию является последовательность номеров правильных ответов, перечисленных без пробелов и знаков препинания.",321,321,0.0,1.638185528647546e-06,1.0,1,1.0,1.0,NORMAL,0/6,1.0
"Прочитайте приведённые далее задачу, текст и выполните по ним задание. Задача: Напишите пропущенное слово (словосочетание). Текст: «____________» — единственная транспортная магистраль через Ладожское озеро, которая связывала в 1941–1943 гг. блокадный Ленинград с остальной страной. Кратко сформулируйте и запишите ответ на задание (слово, словосочетание, одно или несколько предложений).",дорога жизни,«Дорога жизни»,0.0150612,0.04677928103468395,1.0,1,1.0,1.0,NORMAL,0/6,0.9600369
"Прочитайте приведённые далее задачу, текст и выполните по ним задание. Задача: Выберите подходящее окончание для фразы. Текст: Одним из последствий принятия Судебника 1497 г. было Вариант ответа 1: введение срока сыска и возвращения беглых крестьян, Вариант ответа 2: появление новых органов центрального управления — приказов, Вариант ответа 3: введения единого срока крестьянского перехода от одного землевладельца к другому, Вариант ответа 4: введение денежного налога — подушной подати Выберите один вариант правильного ответа и укажите его номер в ответе.",3,3,-2.3841858e-07,9.906479089500534e-07,1.0,1,1.0,1.0,NORMAL,0/6,1.0000001
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Что из перечисленного относится к мероприятиям Столыпинской аграрной реформы? Вариант ответа 1: Предоставление крестьянам права на свободный выход из общины с наделом, Вариант ответа 2: Национализация помещичьих земель, Вариант ответа 3: Создание хуторских хозяйств, Вариант ответа 4: Государственная помощь переселению крестьян на окраины, Вариант ответа 5: Передача всей общинной земли в собственность отдельных крестьян, Вариант ответа 6: Распределение земли между крестьянами по уравнительно-трудовой норме Выберите несколько вариантов правильных ответов и перечислите в ответе их номера без пробелов и знаков препинания.",134,134,0.0,2.0459003897016395e-06,1.0,1,1.0,1.0,NORMAL,0/6,1.0000001
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Какое из названных событий произошло позже других? Вариант ответа 1: подписание в Хельсинки Заключительного акта Совещания по безопасности и сотрудничеству в Европе, Вариант ответа 2: подписание советско-германского договора о ненападении, Вариант ответа 3: Карибский кризис, Вариант ответа 4: Потсдамская (Берлинская) конференция Выберите один вариант правильного ответа и укажите его номер в ответе.",1,1,-2.3841858e-07,1.2530293531721889e-06,1.0,1,1.0,1.0,NORMAL,0/6,1.0000001
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Расположите в хронологической последовательности исторические события. Запишите цифры, которыми обозначены исторические события, в правильной последовательности. Вариант ответа 1: учреждение Государственной думы Российской империи, Вариант ответа 2: созыв первого Земского собора, Вариант ответа 3: возникновение Английского парламента Ответом к заданию является последовательность номеров правильных ответов, перечисленных без пробелов и знаков препинания.",321,321,0.0,1.638185528647546e-06,1.0,1,1.0,1.0,NORMAL,0/6,1.0
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Расположите в хронологической последовательности события Вариант ответа 1: Введение единой системы мер и весов в России, Вариант ответа 2: Нашествие Тохтамыша на Русь, Вариант ответа 3: Завершение Столетней войны Ответом к заданию является последовательность номеров правильных ответов, перечисленных без пробелов и знаков препинания.",231,231,0.0,1.7210395901646083e-06,1.0,1,1.0,1.0,NORMAL,0/6,1.0000001
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Расположите в хронологической последовательности события Вариант ответа 1: Гангутское сражение, Вариант ответа 2: Создание полков нового строя, Вариант ответа 3: Утрехтская уния Ответом к заданию является последовательность номеров правильных ответов, перечисленных без пробелов и знаков препинания.",321,321,0.0,1.638185528647546e-06,1.0,1,1.0,1.0,NORMAL,0/6,1.0
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Какие три из перечисленных исторических деятелей был современником Павла I? Вариант ответа 1: А.В. Суворов, Вариант ответа 2: А.И. Остерман, Вариант ответа 3: Фридрих II, Вариант ответа 4: Э.И. Бирон, Вариант ответа 5: А.Д. Меншиков, Вариант ответа 6: Наполеон Бонапарт Выберите несколько вариантов правильных ответов и перечислите в ответе их номера без пробелов и знаков препинания.",136,16,0.0,1.638185528647546e-06,1.0,1,1.0,1.0,NORMAL,0/6,0.8672184
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Что из названного произошло в XVII в.? Вариант ответа 1: Крестьянская война под руководством Е. Пугачёва, Вариант ответа 2: Церковный раскол, Вариант ответа 3: Семилетняя война, Вариант ответа 4: Введение опричнины Выберите один вариант правильного ответа и укажите его номер в ответе.",2,2,-2.3841858e-07,9.481392766806649e-07,1.0,1,1.0,1.0,NORMAL,0/6,1.0
"Прочитайте приведённые далее задачу, текст и выполните по ним задание. Задача: Выберите подходящее окончание для фразы. Текст: Современниками были Вариант ответа 1: Василий II и Иван Калита, Вариант ответа 2: Дмитрий Шемяка и Сергий Радонежский, Вариант ответа 3: Иван IV и Иван Федоров, Вариант ответа 4: Дмитрий Донской и Алексей Адашев Выберите один вариант правильного ответа и укажите его номер в ответе.",3,3,-2.3841858e-07,9.906479089500534e-07,1.0,1,0.8,1.0,NORMAL,0/6,1.0000001
"Прочитайте приведённые далее задачу, текст и выполните по ним задание. Задача: Выберите подходящее окончание для фразы. Текст: Территория Московского государства в XVII в. расширилась за счет присоединения Вариант ответа 1: Казанского ханства, Вариант ответа 2: Северного Причерноморья, Вариант ответа 3: Левобережной Украины, Вариант ответа 4: Правобережной Украины Выберите один вариант правильного ответа и укажите его номер в ответе.",3,3,-2.3841858e-07,9.906479089500534e-07,1.0,1,1.0,1.0,NORMAL,0/6,1.0000001
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Создание какого памятника литературы относится к XVII в.? Вариант ответа 1: «Повесть о Шемякином суде», Вариант ответа 2: «Домострой», Вариант ответа 3: «Задонщина», Вариант ответа 4: «Хожение за три моря» Выберите один вариант правильного ответа и укажите его номер в ответе.",1,1,-2.3841858e-07,1.2530293531721889e-06,1.0,1,1.0,1.0,NORMAL,0/6,1.0000001
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Расположите в хронологической последовательности события Вариант ответа 1: Воцарение Лжедмитрия I., Вариант ответа 2: Восстание Степана Разина., Вариант ответа 3: Первое кругосветное путешествие Фернандо Магеллана. Ответом к заданию является последовательность номеров правильных ответов, перечисленных без пробелов и знаков препинания.",312,312,0.0,1.9472176757848654e-06,1.0,1,1.0,1.0,NORMAL,0/6,0.9999999
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Расположите в хронологической последовательности исторические события. Запишите цифры, которыми обозначены исторические события, в правильной последовательности. Вариант ответа 1: принятие Соборного уложения, Вариант ответа 2: первый созыв Генеральных штатов во Франции, Вариант ответа 3: Полтавская битва Ответом к заданию является последовательность номеров правильных ответов, перечисленных без пробелов и знаков препинания.",213,213,0.0,1.7210395901646083e-06,1.0,1,1.0,1.0,NORMAL,0/6,1.0000001
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Расположите в хронологической последовательности события Вариант ответа 1: Северо-Восточный поход хана Батыя, Вариант ответа 2: Первое упоминание о Москве в Летописи, Вариант ответа 3: Падение Западной Римской империи Ответом к заданию является последовательность номеров правильных ответов, перечисленных без пробелов и знаков препинания.",321,321,0.0,1.638185528647546e-06,1.0,1,1.0,1.0,NORMAL,0/6,1.0
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Расположите в хронологической последовательности события Вариант ответа 1: Введение продразвёрстки., Вариант ответа 2: Учреждение губернских и уездных земств., Вариант ответа 3: Возникновение Английского парламента. Ответом к заданию является последовательность номеров правильных ответов, перечисленных без пробелов и знаков препинания.",321,321,0.0,1.638185528647546e-06,1.0,1,1.0,1.0,NORMAL,0/6,1.0
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Какое из перечисленных событий произошло раньше? Вариант ответа 1: Восстание Ивана Болотникова, Вариант ответа 2: Воцарение династии Романовых, Вариант ответа 3: Поход Лжедмитрия I на Москву, Вариант ответа 4: Приход к власти боярского правительства – «семибоярщины» Выберите один вариант правильного ответа и укажите его номер в ответе.",3,3,-2.3841858e-07,9.906479089500534e-07,1.0,1,1.0,1.0,NORMAL,0/6,1.0000001
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Ниже приведён список терминов. Все они, за исключением двух, относятся к событиям жизни кочевых народов-степняков. Выберите лишние элементы. Вариант ответа 1: скотоводство;, Вариант ответа 2: хан;, Вариант ответа 3: хоромы;, Вариант ответа 4: конница;, Вариант ответа 5: соха;, Вариант ответа 6: седло. Выберите несколько вариантов правильных ответов и перечислите в ответе их номера без пробелов и знаков препинания.",35,35,0.0,2.1255512747481195e-06,1.0,1,1.0,1.0,NORMAL,0/6,1.0000001
"Прочитайте приведённые далее задачу, текст и выполните по ним задание. Задача: Назовите термин (понятие), о котором идет речь. Текст: Система предпринятых большевиками в условиях экономического кризиса, Гражданской войны и интервенции чрезвычайных мер (введение продразвёрстки, запрет частной торговли, введение всеобщей воинской повинности), которые воспринимались частью общества и руководства как способ перехода к новому общественному устройству. Кратко сформулируйте и запишите ответ на задание (слово, словосочетание, одно или несколько предложений).",Военный коммунизм,Военный коммунизм.,0.009767532,0.06568208767149747,0.9999999999999998,1,1.0,1.0,NORMAL,0/6,0.97558045
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Ниже приведён перечень терминов. Все они, за исключением двух, относятся к событиям XIХ в. Выберите лишние элементы. Вариант ответа 1: Министерства, Вариант ответа 2: Земства, Вариант ответа 3: Железная дорога, Вариант ответа 4: Меньшевики, Вариант ответа 5: Рекруты, Вариант ответа 6: Октябристы. Выберите несколько вариантов правильных ответов и перечислите в ответе их номера без пробелов и знаков препинания.",46,46,1.1920929e-07,2.619149392143366e-06,1.0,1,1.0,1.0,NORMAL,0/6,1.0
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Известно, что в Средние века на Руси господствовало натуральное хозяйство. Однако некоторые товары крестьянин обязательно приобретал или заказывал. Укажите два таких товара. Для каждого товара в скобках укажите причину их приобретения. Каждый пункт ответа пронумеруйте. Кратко сформулируйте и запишите ответ на задание (слово, словосочетание, одно или несколько предложений).","1) железные изделия — топор, сошник, нож и т. п. (без железных орудий невозможно вести хозяйство, а изготовить их самостоятельно невозможно);2) соль (соль добывали только в некоторых местах — в соляных копях — или вываривали из морской воды и из рассола подземных источников).","1. Соль (необходима для консервирования продуктов и улучшения вкуса пищи).
2. Железные орудия труда (необходимы для обработки земли, так как самостоятельно изготовить качественные орудия крестьянин часто не мог).",0.0013910532,0.0067604546020432355,0.9986892666496411,1,1.0,1.0,NORMAL,0/6,0.9187716
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Расположите в хронологической последовательности события Вариант ответа 1: Падение Византии., Вариант ответа 2: Битва на реке Сить;, Вариант ответа 3: Грюнвальдская битва. Ответом к заданию является последовательность номеров правильных ответов, перечисленных без пробелов и знаков препинания.",231,231,0.0,1.7210395901646083e-06,1.0,1,1.0,1.0,NORMAL,0/6,1.0000001
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Выберите в приведенном списке положения, характеризующие личные (гражданские) права (свободы) гражданина Российской Федерации. Вариант ответа 1: Каждый имеет право на отдых., Вариант ответа 2: Никто не может быть принуждён к выражению своих мнений и убеждений или отказу от них., Вариант ответа 3: Граждане Российской Федерации имеют право участвовать в управлении делами государства как непосредственно, так и через своих представителей., Вариант ответа 4: Каждый имеет право на неприкосновенность частной жизни, личную и семейную тайну, защиту своей чести и доброго имени., Вариант ответа 5: Каждый, кто законно находится на территории Российской Федерации, имеет право свободно передвигаться, выбирать место пребывания и жительства. Выберите несколько вариантов правильных ответов и перечислите в ответе их номера без пробелов и знаков препинания.",245,245,-2.3841858e-07,1.227115771106847e-06,1.0,1,1.0,1.0,NORMAL,0/6,1.0000002
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Фирма занимается ремонтом часов. Найдите в приведенном списке примеры постоянных издержек фирмы в краткосрочном периоде Вариант ответа 1: приобретение комплектующих, Вариант ответа 2: выплата кредита и процентов по нему, Вариант ответа 3: оклад главного бухгалтера, Вариант ответа 4: арендная плата за офис фирмы, Вариант ответа 5: оплата охраны офиса фирмы, Вариант ответа 6: оплата потреблённой электроэнергии Выберите несколько вариантов правильных ответов и перечислите в ответе их номера без пробелов и знаков препинания.",2345,2345,1.7881393e-07,4.602727279829966e-08,1.0,1,1.0,1.0,NORMAL,0/6,0.9999999
"Прочитайте приведённые далее задачу, текст и выполните по ним задание. Задача: Выберите подходящее окончание для фразы. Текст: Высшая степень развития таланта, связанная с созданием качественно новых, уникальных творений, — это Вариант ответа 1: гениальность, Вариант ответа 2: мастерство, Вариант ответа 3: способности, Вариант ответа 4: одарённость Выберите один вариант правильного ответа и укажите его номер в ответе.",1,1,-2.3841858e-07,1.2530293531721889e-06,1.0,1,1.0,1.0,NORMAL,0/6,1.0000001
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Какой пример иллюстрирует влияние природы на общество? Вариант ответа 1: запрещение охоты на редких животных, Вариант ответа 2: уничтожение цунами приморского поселка, Вариант ответа 3: изготовление одежды из натурального меха, Вариант ответа 4: создание природного заповедника Выберите один вариант правильного ответа и укажите его номер в ответе.",2,2,-2.3841858e-07,9.481392766806649e-07,1.0,1,1.0,1.0,NORMAL,0/6,1.0
"Прочитайте приведённые далее задачу, текст и выполните по ним задание. Задача: Выберите подходящее окончание для фразы. Текст: В отличие от поведения животных, деятельность человека имеет Вариант ответа 1: активный характер, Вариант ответа 2: преобразовательный характер, Вариант ответа 3: индивидуальный характер, Вариант ответа 4: приспособительный характер Выберите один вариант правильного ответа и укажите его номер в ответе.",2,2,-2.3841858e-07,9.481392766806649e-07,1.0,1,1.0,1.0,NORMAL,0/6,1.0
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: И деятельность человека, и поведение животного характеризуется Вариант ответа 1: выдвижением целей, Вариант ответа 2: удовлетворением потребностей, Вариант ответа 3: осознанным выбором средств достижения цели, Вариант ответа 4: способностью оценивать свои действия Выберите один вариант правильного ответа и укажите его номер в ответе.",2,2,-2.3841858e-07,9.481392766806649e-07,1.0,1,1.0,1.0,NORMAL,0/6,1.0
"Прочитайте приведённые далее задачу, текст и выполните по ним задание. Задача: Выберите подходящее окончание для фразы. Текст: На общем собрании членов кооператива было принято решение о преобразовании его в акционерное общество. Недовольный этим решением гражданин написал заявление о выходе из кооператива. При расчете он должен получить Вариант ответа 1: часть стоимости имущества кооператива, поделенную на общее количество его членов, Вариант ответа 2: стоимость среднегодовых дивидендов за весь период членства в кооперативе, Вариант ответа 3: свой пай в кооперативе или часть имущества, соответствующую этому паю, Вариант ответа 4: причитающийся ему доход от акций предприятия в будущем Выберите один вариант правильного ответа и укажите его номер в ответе.",3,3,-2.3841858e-07,9.906479089500534e-07,1.0,1,1.0,1.0,NORMAL,0/6,1.0000001
"Прочитайте приведённую далее задачу и выполните по ней задание. Задача: Описание, объяснение и прогнозирование процессов действительности является непосредственной целью Вариант ответа 1: искусства, Вариант ответа 2: науки, Вариант ответа 3: морали, Вариант ответа 4: образования Выберите один вариант правильного ответа и укажите его номер в ответе.",2,2,-2.3841858e-07,9.481392766806649e-07,1.0,1,1.0,1.0,NORMAL,0/6,1.0
